Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
3335,157,5,0.0,0,5.0,367805,0.0,0.0,2,0.0,0,249.6246499999998,UNSAT,,0.054,
3336,157,1,0.01,0,5.0,11328713,0.01,0.0,2,0.0,0,249.6346499999998,UNSAT,,0.062,
3337,157,5,0.01,0,5.0,12178220,0.01,0.0,2,0.0,0,249.64464999999979,UNSAT,,0.115,
3338,157,3,0.05,0,5.0,7709108,0.05,0.0,2,0.0,0,249.6946499999998,UNSAT,,0.147,
3339,1034,2,0.01,0,1.0389070737838746,5394613,0.01,0.0,2,0.0,0,249.7046499999998,UNSAT,,0.095,
3340,1021,5,0.01,0,1.0652267563819886,6965752,0.01,0.0,2,0.0,0,249.71464999999978,UNSAT,,0.087,
3341,1041,5,0.01,0,1.0146175253868104,8802296,0.01,0.0,2,0.0,0,249.72464999999977,UNSAT,,0.091,
3342,1042,2,0.01,0,1.0132870901107789,1917769,0.01,0.0,2,0.0,0,249.73464999999976,UNSAT,,0.114,
3343,1043,3,1.064293049621582,1,1.064293049621582,2898847,1.02,0.0,0,0.0,0,250.75464999999977,TIMEOUT,,1.312,
3344,1044,4,0.02,0,1.0249650109291077,3594091,0.02,0.0,2,0.0,0,250.77464999999978,UNSAT,,0.118,
3345,157,2,0.01,0,5.0,6821105,0.01,0.0,2,0.0,0,250.78464999999977,UNSAT,,0.075,
3346,157,4,0.02,0,5.0,11376599,0.02,0.0,2,0.0,0,250.80464999999978,UNSAT,,0.092,
3347,157,1,0.01,0,5.0,2210219,0.01,0.0,2,0.0,0,250.81464999999977,UNSAT,,0.042,
3348,157,4,0.01,0,5.0,3006139,0.01,0.0,2,0.0,0,250.82464999999976,UNSAT,,0.096,
3349,157,5,0.01,0,5.0,13171731,0.01,0.0,2,0.0,0,250.83464999999975,UNSAT,,0.039,
3350,157,1,0.0,0,5.0,8968997,0.0,0.0,2,0.0,0,250.83464999999975,UNSAT,,0.08,
3351,157,3,0.06,0,5.0,15396878,0.06,0.0,2,0.0,0,250.89464999999976,UNSAT,,0.116,
3352,157,2,0.01,0,5.0,13224029,0.01,0.0,2,0.0,0,250.90464999999975,UNSAT,,0.071,
3353,157,4,0.02,0,5.0,8511727,0.02,0.0,2,0.0,0,250.92464999999976,UNSAT,,0.098,
3354,157,3,0.04,0,5.0,6189186,0.04,0.0,2,0.0,0,250.96464999999975,UNSAT,,0.167,
3355,157,1,0.01,0,5.0,16145354,0.01,0.0,2,0.0,0,250.97464999999974,UNSAT,,0.102,
3356,157,2,0.0,0,5.0,15488623,0.0,0.0,2,0.0,0,250.97464999999974,UNSAT,,0.114,
3357,157,5,0.01,0,5.0,9451800,0.01,0.0,2,0.0,0,250.98464999999973,UNSAT,,0.07,
3358,157,4,0.02,0,5.0,14435070,0.02,0.0,2,0.0,0,251.00464999999974,UNSAT,,0.112,
3359,157,1,0.01,0,5.0,7465355,0.01,0.0,2,0.0,0,251.01464999999973,UNSAT,,0.081,
3360,157,5,0.01,0,5.0,5397764,0.01,0.0,2,0.0,0,251.02464999999972,UNSAT,,0.107,
3361,157,2,0.01,0,5.0,11018132,0.01,0.0,2,0.0,0,251.03464999999971,UNSAT,,0.052,
3362,157,3,0.05,0,5.0,4676398,0.05,0.0,2,0.0,0,251.08464999999973,UNSAT,,0.108,
3363,157,4,0.01,0,5.0,6731679,0.01,0.0,2,0.0,0,251.09464999999972,UNSAT,,0.103,
3364,157,3,0.05,0,5.0,6164609,0.05,0.0,2,0.0,0,251.14464999999973,UNSAT,,0.149,
3365,1021,1,0.01,0,1.1241967308998109,5223200,0.01,0.0,2,0.0,0,251.15464999999972,UNSAT,,0.094,
3366,1021,2,0.01,0,1.1111968982696534,11597666,0.01,0.0,2,0.0,0,251.1646499999997,UNSAT,,0.113,
3367,1021,3,0.06,0,1.1111968982696534,922673,0.06,0.0,2,0.0,0,251.2246499999997,UNSAT,,0.132,
3368,1021,2,0.0,0,1.0302487838745118,14224918,0.0,0.0,2,0.0,0,251.2246499999997,UNSAT,,0.084,
3369,1034,3,1.076629601764679,1,1.076629601764679,3334595,1.02,0.0,0,0.0,0,252.24464999999972,TIMEOUT,,1.508,
3370,157,2,0.01,0,5.0,13633022,0.01,0.0,2,0.0,0,252.2546499999997,UNSAT,,0.054,
3371,157,1,0.01,0,5.0,6791834,0.01,0.0,2,0.0,0,252.2646499999997,UNSAT,,0.056,
3372,157,5,0.0,0,5.0,5353547,0.0,0.0,2,0.0,0,252.2646499999997,UNSAT,,0.099,
3373,157,4,0.02,0,5.0,4773678,0.02,0.0,2,0.0,0,252.28464999999971,UNSAT,,0.145,
3374,157,3,0.05,0,5.0,3985817,0.05,0.0,2,0.0,0,252.33464999999973,UNSAT,,0.223,
3375,157,2,0.01,0,5.0,9884678,0.01,0.0,2,0.0,0,252.34464999999972,UNSAT,,0.061,
3376,157,5,0.01,0,5.0,5602413,0.01,0.0,2,0.0,0,252.3546499999997,UNSAT,,0.118,
3377,157,1,0.01,0,5.0,11261420,0.01,0.0,2,0.0,0,252.3646499999997,UNSAT,,0.067,
3378,157,2,0.01,0,5.0,8856719,0.01,0.0,2,0.0,0,252.3746499999997,UNSAT,,0.078,
